8.4122,8.4788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.1435,7.5431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.5346,8.6354,9.1448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.6264,6.1538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.6072,8.8872,8.9090,9.3874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.1009,5.5380,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.6429,8.9470,9.1795,9.2540,9.2709,NaN,NaN,NaN,NaN,NaN,NaN,3.5076,3.6502,4.1755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.4966,8.7718,8.9700,9.3201,9.4061,9.3115,9.7617,NaN,NaN,NaN,NaN,NaN,4.1259,3.8392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3713,3.2328
8.3123,8.6623,8.9049,9.1801,9.5202,9.7192,10.8081,11.3587,NaN,NaN,NaN,NaN,3.2182,3.9620,4.8125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4651,NaN,NaN
8.2775,8.5999,8.7624,8.9363,9.3623,9.7730,10.9855,11.6054,12.0307,13.1693,12.9510,13.7902,7.8387,7.0794,6.5369,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7219,3.8519,NaN,NaN
8.1174,8.5247,8.7569,8.8823,9.1345,9.4739,10.6053,11.5104,12.2792,13.7759,13.8288,13.3585,11.3017,9.9580,9.2610,8.8424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9433,3.1124,NaN,NaN,NaN
7.9208,8.4073,8.7364,8.8163,9.0640,9.2616,10.2947,11.6402,12.7331,13.7081,13.7237,12.7543,NaN,11.3226,10.8655,9.3369,6.4972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8182,NaN,NaN,NaN,NaN
7.5367,7.9722,8.3808,8.6602,9.0004,9.3963,10.3718,11.4988,12.5658,13.2223,12.9433,12.0633,12.1724,10.7117,10.8390,9.6848,8.1255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.3857,7.8154,8.2304,8.4471,8.8533,9.3773,9.9575,10.6225,11.5012,11.7056,11.5489,11.4844,12.2016,12.6182,11.0178,9.5627,9.0125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.3884,7.7318,8.2593,8.7393,9.1264,9.2205,8.9189,9.4822,10.4375,10.8476,11.2172,11.8592,12.5706,13.0541,12.7492,10.4284,9.8041,10.3867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.4465,7.5341,8.0709,8.6495,9.0259,8.8503,8.7733,9.8162,10.8228,11.3534,12.1216,12.8644,13.1043,13.0796,12.9715,11.5581,10.7801,10.6324,10.4318,NaN,NaN,NaN,NaN,NaN,3.2544,2.8952,NaN,NaN,NaN,NaN
7.3768,7.5544,7.8938,8.5328,9.0072,9.4539,10.0941,10.9114,11.4584,11.7202,12.1823,12.6188,13.0009,13.1581,13.0574,12.3099,12.0612,11.7601,11.1318,9.9969,NaN,NaN,NaN,NaN,3.9162,NaN,NaN,NaN,NaN,NaN
7.4074,7.5186,7.8817,8.3217,8.6837,9.1447,9.7872,10.4802,11.0050,11.0410,11.5165,12.3667,12.9424,13.1592,13.2196,13.0417,12.7435,12.0998,11.3955,10.1782,9.9479,NaN,NaN,2.9265,3.6546,NaN,NaN,NaN,NaN,NaN
7.4280,7.4826,7.6510,7.8912,8.4060,8.8859,9.4730,9.9047,10.2706,10.3483,11.0792,12.1474,12.7192,12.9936,13.2820,13.3240,12.9524,12.1970,11.3444,10.1748,9.6179,9.0874,7.6158,5.0754,4.0021,NaN,NaN,NaN,NaN,NaN
7.3444,7.3098,7.3687,7.4333,7.9028,8.6085,9.2649,9.7701,10.2212,10.6258,11.2676,12.0964,12.5240,12.9041,13.0567,13.0932,12.7478,12.1204,11.2500,9.8491,9.1267,8.8977,7.9983,6.1630,5.0458,NaN,NaN,NaN,NaN,NaN
7.1193,7.0170,7.0802,7.1764,7.3858,8.0792,8.9202,9.4038,9.9258,10.4321,11.0891,11.8207,12.2997,12.6632,12.7656,12.8465,12.5668,12.1475,11.2376,10.0791,9.1484,8.3658,7.6613,6.4770,5.2444,NaN,NaN,NaN,NaN,NaN
6.6948,6.4554,6.5021,6.5037,6.7827,7.5277,8.3959,9.1587,9.6347,10.3089,10.8952,11.4623,11.8841,12.1685,12.4409,12.5888,12.4721,12.2701,11.6047,10.5103,9.3497,8.2836,7.3305,6.8277,5.7151,NaN,NaN,NaN,NaN,NaN
6.1084,5.8912,5.9801,6.0900,6.3450,6.8047,7.5737,8.6167,9.3192,9.9427,10.5727,11.1093,11.4564,11.7734,12.1091,12.2963,12.3197,12.0719,11.5268,10.6419,9.7283,8.9203,7.9313,6.9444,6.1089,NaN,NaN,NaN,NaN,NaN
5.6413,5.3533,5.3953,5.7310,6.1590,6.6489,7.0627,8.0915,8.9873,9.6546,10.1216,10.5920,11.0602,11.4521,11.7961,12.0648,12.0764,12.0107,11.4580,10.5062,9.7390,8.9259,8.2741,7.5614,6.7393,NaN,NaN,NaN,NaN,NaN
5.2950,4.8694,4.9333,5.2009,5.8580,6.4875,6.7716,7.5597,8.5311,9.3177,9.6861,10.2864,10.7995,11.2873,11.6601,11.9445,12.0514,11.8089,11.3119,10.5976,9.6636,8.9607,8.2416,7.6560,7.0025,NaN,NaN,NaN,NaN,NaN
5.0096,4.5059,4.6219,4.7445,5.2636,5.7717,6.4239,7.2848,8.2198,8.9514,9.5910,10.1328,10.5841,11.0278,11.4075,11.7857,11.8294,11.4612,11.0903,10.4425,9.4518,8.6587,7.9918,7.8392,NaN,NaN,NaN,NaN,NaN,NaN
